实测值 2024年5月9日
R6233-100 (RL0840）


Wl (nm)	QE (%)
300	21.008
310	28.492
320	33.389
330	36.329
340	37.901
350	38.66
360	38.633
370	38.443
380	38.523
390	38.114
400	37.5
410	36.749
420	36.081
430	34.889
440	33.744
450	32.331
460	30.603
470	28.628
480	26.974
490	25.546
500	24.418
510	22.918
520	19.936
530	16.086
540	13.391
550	11.804
560	10.666
570	9.6396
580	8.6262
590	7.5954
600	6.5657
610	5.5675
620	4.6146
630	3.7272
640	2.9171
650	2.206
660	1.6044
670	1.1176
680	0.74222
690	0.47202
700	0.28669
