从烁杰那买来的塑料闪烁体，使用FLS1000进行测量。使用了280 nm高通滤光片

Labels,EmScan9,
Type,Emission Scan,
Comment,,
Start,330.00,
Stop,700.00,
Step,2.00,
Fixed/Offset,320.00,
Xaxis,Wavelength,
Yaxis,Counts,
Scan Corr. by File,False,
Corr. by Ref. Det.,False,
Fixed/Offset Corr. by File,False,
Repeats,1,
Dwell Time,1.00,
Lamp,Xenon,
Temp,0.00,
Scan Polariser,None,
Scan Slit,1.5999812,
Fixed/Offset Polariser,None,
Fixed/Offset Slit,1.5999812,
Detector,Det 1,

330.00,9.46390000E+4,
332.00,9.00070000E+4,
334.00,8.39970000E+4,
336.00,8.35360000E+4,
338.00,8.92290000E+4,
340.00,9.73940000E+4,
342.00,1.04045000E+5,
344.00,1.06402000E+5,
346.00,1.05276000E+5,
348.00,1.01358000E+5,
350.00,9.55780000E+4,
352.00,9.20970000E+4,
354.00,8.65030000E+4,
356.00,8.64450000E+4,
358.00,8.95380000E+4,
360.00,8.72610000E+4,
362.00,8.32770000E+4,
364.00,7.76460000E+4,
366.00,7.56450000E+4,
368.00,7.22820000E+4,
370.00,6.99570000E+4,
372.00,6.50220000E+4,
374.00,6.38150000E+4,
376.00,6.37010000E+4,
378.00,6.23030000E+4,
380.00,6.29290000E+4,
382.00,6.57950000E+4,
384.00,7.01290000E+4,
386.00,7.75060000E+4,
388.00,8.71270000E+4,
390.00,1.00855000E+5,
392.00,1.17165000E+5,
394.00,1.38084000E+5,
396.00,1.63823000E+5,
398.00,1.95055000E+5,
400.00,2.22668000E+5,
402.00,2.50175000E+5,
404.00,2.85647000E+5,
406.00,3.26876000E+5,
408.00,3.67330000E+5,
410.00,3.63590000E+5,
412.00,4.08330000E+5,
414.00,4.64321000E+5,
416.00,5.27116000E+5,
418.00,5.89716000E+5,
420.00,6.48375000E+5,
422.00,6.95070000E+5,
424.00,7.31041000E+5,
426.00,7.44782000E+5,
428.00,7.42704000E+5,
430.00,7.20575000E+5,
432.00,6.83588000E+5,
434.00,6.34934000E+5,
436.00,5.82821000E+5,
438.00,5.35617000E+5,
440.00,4.90698000E+5,
442.00,4.55176000E+5,
444.00,4.27694000E+5,
446.00,3.75426000E+5,
448.00,3.32829000E+5,
450.00,3.06277000E+5,
452.00,2.91365000E+5,
454.00,2.87603000E+5,
456.00,2.85853000E+5,
458.00,2.84671000E+5,
460.00,2.80126000E+5,
462.00,2.72779000E+5,
464.00,2.59903000E+5,
466.00,2.44191000E+5,
468.00,2.28076000E+5,
470.00,2.10721000E+5,
472.00,1.94277000E+5,
474.00,1.80604000E+5,
476.00,1.68422000E+5,
478.00,1.57804000E+5,
480.00,1.48703000E+5,
482.00,1.39361000E+5,
484.00,1.30317000E+5,
486.00,1.22839000E+5,
488.00,1.14257000E+5,
490.00,1.06442000E+5,
492.00,9.90190000E+4,
494.00,9.14870000E+4,
496.00,8.32420000E+4,
498.00,7.61340000E+4,
500.00,6.85650000E+4,
502.00,6.24810000E+4,
504.00,5.62280000E+4,
506.00,5.11970000E+4,
508.00,4.60520000E+4,
510.00,4.19830000E+4,
512.00,3.81360000E+4,
514.00,3.41900000E+4,
516.00,3.14770000E+4,
518.00,2.88090000E+4,
520.00,2.66190000E+4,
522.00,2.44870000E+4,
524.00,2.23710000E+4,
526.00,2.06700000E+4,
528.00,1.91840000E+4,
530.00,1.75290000E+4,
532.00,1.58660000E+4,
534.00,1.47140000E+4,
536.00,1.34420000E+4,
538.00,1.21340000E+4,
540.00,1.09730000E+4,
542.00,1.03810000E+4,
544.00,9.37100000E+3,
546.00,8.75300000E+3,
548.00,7.85800000E+3,
550.00,7.21600000E+3,
552.00,6.59200000E+3,
554.00,6.15500000E+3,
556.00,5.71500000E+3,
558.00,5.33100000E+3,
560.00,4.98300000E+3,
562.00,4.64400000E+3,
564.00,4.27000000E+3,
566.00,3.95500000E+3,
568.00,3.80200000E+3,
570.00,3.49700000E+3,
572.00,3.21500000E+3,
574.00,3.09400000E+3,
576.00,2.89800000E+3,
578.00,2.71600000E+3,
580.00,2.64400000E+3,
582.00,2.45300000E+3,
584.00,2.22800000E+3,
586.00,2.14100000E+3,
588.00,1.98100000E+3,
590.00,1.95200000E+3,
592.00,1.84300000E+3,
594.00,1.74100000E+3,
596.00,1.74600000E+3,
598.00,1.66200000E+3,
600.00,1.55800000E+3,
602.00,1.48500000E+3,
604.00,1.47400000E+3,
606.00,1.42400000E+3,
608.00,1.36100000E+3,
610.00,1.31200000E+3,
612.00,1.26100000E+3,
614.00,1.23200000E+3,
616.00,1.11400000E+3,
618.00,1.15500000E+3,
620.00,1.08600000E+3,
622.00,1.11300000E+3,
624.00,1.12600000E+3,
626.00,1.03800000E+3,
628.00,9.80000000E+2,
630.00,9.67000000E+2,
632.00,9.87000000E+2,
634.00,9.88000000E+2,
636.00,8.84000000E+2,
638.00,8.96000000E+2,
640.00,8.98000000E+2,
642.00,8.96000000E+2,
644.00,8.41000000E+2,
646.00,8.09000000E+2,
648.00,7.97000000E+2,
650.00,7.52000000E+2,
652.00,8.28000000E+2,
654.00,8.13000000E+2,
656.00,8.01000000E+2,
658.00,8.37000000E+2,
660.00,8.00000000E+2,
662.00,7.75000000E+2,
664.00,7.18000000E+2,
666.00,7.64000000E+2,
668.00,7.17000000E+2,
670.00,7.89000000E+2,
672.00,7.53000000E+2,
674.00,6.72000000E+2,
676.00,7.23000000E+2,
678.00,6.87000000E+2,
680.00,1.00000000E+2,
682.00,9.40000000E+1,
684.00,1.01000000E+2,
686.00,1.02000000E+2,
688.00,1.00000000E+2,
690.00,9.70000000E+1,
692.00,9.70000000E+1,
694.00,9.00000000E+1,
696.00,9.60000000E+1,
698.00,9.00000000E+1,
700.00,8.40000000E+1,
