Labels,EmScan21,
Type,Emission Scan,
Comment,,
Start,300.00,
Stop,800.00,
Step,2.00,
Fixed/Offset,260.00,
Xaxis,Wavelength,
Yaxis,Counts,
Scan Corr. by File,True,
Corr. by Ref. Det.,False,
Fixed/Offset Corr. by File,False,
Repeats,1,
Dwell Time,0.20,
Lamp,Xe900,
Temp,-50.0,
Scan Polariser,None,
Scan Slit,1.49850,
Fixed/Offset Polariser,None,
Fixed/Offset Slit,1.49850,
Detector,Red PMT,

300.00,-2.07337971E+1,
302.00,-5.91145515E+1,
304.00,-1.88979969E+1,
306.00,-1.82547302E+1,
308.00,-1.42591381E+1,
310.00,2.09567070E+1,
312.00,1.03085346E+1,
314.00,-2.03101368E+1,
316.00,-3.32955246E+1,
318.00,2.61791019E+1,
320.00,4.15153847E+1,
322.00,6.84605331E+1,
324.00,1.23853874E+2,
326.00,9.05338821E+1,
328.00,1.57732407E+2,
330.00,1.16691780E+2,
332.00,1.90564377E+2,
334.00,2.08578079E+2,
336.00,3.01540955E+2,
338.00,3.24727570E+2,
340.00,3.32676483E+2,
342.00,4.48394104E+2,
344.00,4.39014526E+2,
346.00,5.26846436E+2,
348.00,6.52692749E+2,
350.00,6.99288147E+2,
352.00,8.90336975E+2,
354.00,1.00749554E+3,
356.00,1.09620813E+3,
358.00,1.24214758E+3,
360.00,1.51759216E+3,
362.00,1.87355725E+3,
364.00,1.91999121E+3,
366.00,2.34564429E+3,
368.00,2.73000195E+3,
370.00,3.02943970E+3,
372.00,3.38347681E+3,
374.00,3.78175488E+3,
376.00,4.29162061E+3,
378.00,5.05025000E+3,
380.00,5.26986084E+3,
382.00,6.09729053E+3,
384.00,6.64104199E+3,
386.00,7.03749121E+3,
388.00,7.86152490E+3,
390.00,8.34317285E+3,
392.00,9.30362598E+3,
394.00,9.94596191E+3,
396.00,1.13782656E+4,
398.00,1.16307441E+4,
400.00,1.24963340E+4,
402.00,1.35142627E+4,
404.00,1.42944160E+4,
406.00,1.52846914E+4,
408.00,1.65184102E+4,
410.00,1.74542988E+4,
412.00,1.85298359E+4,
414.00,1.93849277E+4,
416.00,2.04134609E+4,
418.00,2.15927188E+4,
420.00,2.29002695E+4,
422.00,2.38144238E+4,
424.00,2.54424121E+4,
426.00,2.66708086E+4,
428.00,2.77017266E+4,
430.00,2.83612324E+4,
432.00,2.93957227E+4,
434.00,3.01983164E+4,
436.00,3.16424492E+4,
438.00,3.27229316E+4,
440.00,3.39659141E+4,
442.00,3.45675898E+4,
444.00,3.60892617E+4,
446.00,3.71462500E+4,
448.00,3.78520547E+4,
450.00,3.93540664E+4,
452.00,4.03877031E+4,
454.00,4.08210625E+4,
456.00,4.13645664E+4,
458.00,4.23223906E+4,
460.00,4.31579219E+4,
462.00,4.39247305E+4,
464.00,4.39484180E+4,
466.00,4.51735117E+4,
468.00,4.49340469E+4,
470.00,4.54688438E+4,
472.00,4.66936680E+4,
474.00,4.66230391E+4,
476.00,4.75369336E+4,
478.00,4.77826523E+4,
480.00,4.80639727E+4,
482.00,4.80761367E+4,
484.00,4.86087578E+4,
486.00,4.88421563E+4,
488.00,4.90033867E+4,
490.00,4.88165469E+4,
492.00,4.91543203E+4,
494.00,4.90903867E+4,
496.00,4.85893398E+4,
498.00,4.92639492E+4,
500.00,4.82889648E+4,
502.00,4.87547813E+4,
504.00,4.83202539E+4,
506.00,4.88827305E+4,
508.00,4.78288984E+4,
510.00,4.74044102E+4,
512.00,4.71574063E+4,
514.00,4.71552305E+4,
516.00,4.64355156E+4,
518.00,4.64292109E+4,
520.00,4.54190391E+4,
522.00,4.57144258E+4,
524.00,4.50570625E+4,
526.00,4.45844727E+4,
528.00,4.38775117E+4,
530.00,4.32274766E+4,
532.00,4.36220820E+4,
534.00,4.24339922E+4,
536.00,4.18033086E+4,
538.00,4.12445781E+4,
540.00,4.10323398E+4,
542.00,4.06159961E+4,
544.00,3.96908125E+4,
546.00,3.88314375E+4,
548.00,3.80909219E+4,
550.00,3.71736406E+4,
552.00,3.76445078E+4,
554.00,3.63487344E+4,
556.00,3.54467813E+4,
558.00,3.50693984E+4,
560.00,3.45599844E+4,
562.00,3.40139609E+4,
564.00,3.37322461E+4,
566.00,3.28515469E+4,
568.00,3.22577227E+4,
570.00,3.15640391E+4,
572.00,3.06314766E+4,
574.00,3.01461367E+4,
576.00,3.04586191E+4,
578.00,2.91087129E+4,
580.00,2.87205840E+4,
582.00,2.79700820E+4,
584.00,2.76731855E+4,
586.00,2.68378418E+4,
588.00,2.59737695E+4,
590.00,2.56446582E+4,
592.00,2.46927441E+4,
594.00,2.40154648E+4,
596.00,2.39917422E+4,
598.00,2.33148516E+4,
600.00,2.28276426E+4,
602.00,2.19333926E+4,
604.00,2.16084102E+4,
606.00,2.09954844E+4,
608.00,2.04405645E+4,
610.00,2.02442246E+4,
612.00,1.94704082E+4,
614.00,1.90525820E+4,
616.00,1.85745645E+4,
618.00,1.83134766E+4,
620.00,1.76085566E+4,
622.00,1.72315703E+4,
624.00,1.66200664E+4,
626.00,1.61085732E+4,
628.00,1.52782539E+4,
630.00,1.57333848E+4,
632.00,1.49445674E+4,
634.00,1.45286211E+4,
636.00,1.46291406E+4,
638.00,1.39215566E+4,
640.00,1.32098887E+4,
642.00,1.28193320E+4,
644.00,1.26031377E+4,
646.00,1.23514658E+4,
648.00,1.15428809E+4,
650.00,1.14310430E+4,
652.00,1.09467227E+4,
654.00,1.10202393E+4,
656.00,1.04112334E+4,
658.00,1.08422617E+4,
660.00,1.00681768E+4,
662.00,1.01808008E+4,
664.00,9.17345117E+3,
666.00,9.07680273E+3,
668.00,8.63016992E+3,
670.00,8.14052148E+3,
672.00,7.90993066E+3,
674.00,7.99233643E+3,
676.00,8.82323926E+3,
678.00,8.09181006E+3,
680.00,8.21187793E+3,
682.00,7.53256201E+3,
684.00,7.76015674E+3,
686.00,7.04113721E+3,
688.00,6.82020410E+3,
690.00,6.34577686E+3,
692.00,6.38664551E+3,
694.00,6.42854102E+3,
696.00,6.39452832E+3,
698.00,5.73356543E+3,
700.00,5.90772559E+3,
702.00,5.68142188E+3,
704.00,5.26474805E+3,
706.00,5.24093311E+3,
708.00,4.86145068E+3,
710.00,4.92105176E+3,
712.00,4.34878613E+3,
714.00,4.30588232E+3,
716.00,4.21336084E+3,
718.00,4.52704395E+3,
720.00,4.37003418E+3,
722.00,4.05156396E+3,
724.00,4.11475244E+3,
726.00,3.93896460E+3,
728.00,3.36573047E+3,
730.00,3.54776196E+3,
732.00,3.71234741E+3,
734.00,3.52493677E+3,
736.00,3.38665063E+3,
738.00,3.70101196E+3,
740.00,3.50370386E+3,
742.00,3.02064380E+3,
744.00,2.39086621E+3,
746.00,2.64078418E+3,
748.00,2.58067163E+3,
750.00,2.77805591E+3,
752.00,3.02479395E+3,
754.00,2.84383789E+3,
756.00,2.65202881E+3,
758.00,2.35087451E+3,
760.00,2.54592407E+3,
762.00,2.16252637E+3,
764.00,2.40925610E+3,
766.00,2.25921704E+3,
768.00,2.00379260E+3,
770.00,2.08291650E+3,
772.00,2.08258765E+3,
774.00,2.55028979E+3,
776.00,1.78603284E+3,
778.00,1.65171265E+3,
780.00,1.41159924E+3,
782.00,2.16521460E+3,
784.00,2.20657471E+3,
786.00,2.47165161E+3,
788.00,1.57755139E+3,
790.00,1.56211084E+3,
792.00,1.64539392E+3,
794.00,1.51037378E+3,
796.00,1.67415454E+3,
798.00,1.44707898E+3,
800.00,1.98095337E+3,
