Labels,EmScan4,
Type,Emission Scan,
Comment,,
Start,280.00,
Stop,800.00,
Step,2.00,
Fixed/Offset,260.00,
Xaxis,Wavelength,
Yaxis,Counts,
Scan Corr. by File,False,
Corr. by Ref. Det.,False,
Fixed/Offset Corr. by File,False,
Repeats,1,
Dwell Time,1.00,
Lamp,Xenon,
Temp,0.00,
Scan Polariser,None,
Scan Slit,2.4999950,
Fixed/Offset Polariser,None,
Fixed/Offset Slit,2.4999950,
Detector,Det 1,

280.00,1.79700000E+3,
282.00,1.85400000E+3,
284.00,1.84900000E+3,
286.00,1.79700000E+3,
288.00,1.89400000E+3,
290.00,1.86500000E+3,
292.00,1.87500000E+3,
294.00,1.86900000E+3,
296.00,1.80900000E+3,
298.00,1.85800000E+3,
300.00,1.96600000E+3,
302.00,1.94600000E+3,
304.00,2.00200000E+3,
306.00,1.93400000E+3,
308.00,2.11700000E+3,
310.00,1.99900000E+3,
312.00,2.06400000E+3,
314.00,2.00600000E+3,
316.00,2.08500000E+3,
318.00,2.11700000E+3,
320.00,2.10600000E+3,
322.00,2.19600000E+3,
324.00,2.22400000E+3,
326.00,2.53900000E+3,
328.00,2.85100000E+3,
330.00,3.61700000E+3,
332.00,4.66200000E+3,
334.00,5.94500000E+3,
336.00,7.37500000E+3,
338.00,9.02600000E+3,
340.00,1.06210000E+4,
342.00,1.30140000E+4,
344.00,1.53140000E+4,
346.00,1.83930000E+4,
348.00,2.24780000E+4,
350.00,2.65250000E+4,
352.00,3.17960000E+4,
354.00,3.86200000E+4,
356.00,4.55980000E+4,
358.00,5.36520000E+4,
360.00,6.27130000E+4,
362.00,7.26120000E+4,
364.00,8.39070000E+4,
366.00,9.70780000E+4,
368.00,1.09768000E+5,
370.00,1.23425000E+5,
372.00,1.39066000E+5,
374.00,1.53321000E+5,
376.00,1.69345000E+5,
378.00,1.85701000E+5,
380.00,2.02729000E+5,
382.00,2.19272000E+5,
384.00,2.35304000E+5,
386.00,2.51085000E+5,
388.00,2.67910000E+5,
390.00,2.83446000E+5,
392.00,2.98417000E+5,
394.00,3.11810000E+5,
396.00,3.24231000E+5,
398.00,3.36209000E+5,
400.00,3.44775000E+5,
402.00,3.54541000E+5,
404.00,3.61837000E+5,
406.00,3.69394000E+5,
408.00,3.74972000E+5,
410.00,3.42026000E+5,
412.00,3.47473000E+5,
414.00,3.50857000E+5,
416.00,3.54527000E+5,
418.00,3.58404000E+5,
420.00,3.62024000E+5,
422.00,3.67063000E+5,
424.00,3.71578000E+5,
426.00,3.73737000E+5,
428.00,3.79525000E+5,
430.00,3.84360000E+5,
432.00,3.90360000E+5,
434.00,3.96984000E+5,
436.00,4.01969000E+5,
438.00,4.11246000E+5,
440.00,4.17891000E+5,
442.00,4.26880000E+5,
444.00,4.31852000E+5,
446.00,4.11360000E+5,
448.00,3.86774000E+5,
450.00,3.78148000E+5,
452.00,3.82163000E+5,
454.00,3.97732000E+5,
456.00,4.26659000E+5,
458.00,4.62389000E+5,
460.00,4.98561000E+5,
462.00,5.40375000E+5,
464.00,5.78649000E+5,
466.00,6.12976000E+5,
468.00,6.46189000E+5,
470.00,6.77874000E+5,
472.00,7.05428000E+5,
474.00,7.30457000E+5,
476.00,7.52570000E+5,
478.00,7.71682000E+5,
480.00,7.88065000E+5,
482.00,8.06861000E+5,
484.00,8.22085000E+5,
486.00,8.35658000E+5,
488.00,8.45672000E+5,
490.00,8.52684000E+5,
492.00,8.61933000E+5,
494.00,8.68437000E+5,
496.00,8.73700000E+5,
498.00,8.80302000E+5,
500.00,8.83964000E+5,
502.00,8.83020000E+5,
504.00,8.86260000E+5,
506.00,8.87828000E+5,
508.00,8.85022000E+5,
510.00,8.81694000E+5,
512.00,8.75997000E+5,
514.00,8.73089000E+5,
516.00,8.68134000E+5,
518.00,8.61618000E+5,
520.00,8.51367000E+5,
522.00,8.41269000E+5,
524.00,8.34414000E+5,
526.00,8.25043000E+5,
528.00,8.14739000E+5,
530.00,8.04312000E+5,
532.00,7.94358000E+5,
534.00,7.82333000E+5,
536.00,7.71114000E+5,
538.00,7.59401000E+5,
540.00,7.44523000E+5,
542.00,7.35609000E+5,
544.00,7.20209000E+5,
546.00,7.03705000E+5,
548.00,6.90567000E+5,
550.00,6.75826000E+5,
552.00,6.63404000E+5,
554.00,6.48461000E+5,
556.00,6.32622000E+5,
558.00,6.20424000E+5,
560.00,6.05250000E+5,
562.00,5.86979000E+5,
564.00,5.72062000E+5,
566.00,5.60646000E+5,
568.00,5.42467000E+5,
570.00,5.29235000E+5,
572.00,5.15494000E+5,
574.00,5.00421000E+5,
576.00,4.85807000E+5,
578.00,4.72833000E+5,
580.00,4.59618000E+5,
582.00,4.44969000E+5,
584.00,4.31399000E+5,
586.00,4.18834000E+5,
588.00,4.04341000E+5,
590.00,3.92394000E+5,
592.00,3.79169000E+5,
594.00,3.67026000E+5,
596.00,3.55781000E+5,
598.00,3.42857000E+5,
600.00,3.31349000E+5,
602.00,3.18925000E+5,
604.00,3.08913000E+5,
606.00,2.97071000E+5,
608.00,2.87089000E+5,
610.00,2.76661000E+5,
612.00,2.65118000E+5,
614.00,2.55189000E+5,
616.00,2.46191000E+5,
618.00,2.34792000E+5,
620.00,2.25970000E+5,
622.00,2.15867000E+5,
624.00,2.08331000E+5,
626.00,1.98751000E+5,
628.00,1.91317000E+5,
630.00,1.82024000E+5,
632.00,1.74360000E+5,
634.00,1.66091000E+5,
636.00,1.59592000E+5,
638.00,1.51435000E+5,
640.00,1.44677000E+5,
642.00,1.38081000E+5,
644.00,1.31649000E+5,
646.00,1.25975000E+5,
648.00,1.19137000E+5,
650.00,1.13738000E+5,
652.00,1.08431000E+5,
654.00,1.02677000E+5,
656.00,9.79760000E+4,
658.00,9.41870000E+4,
660.00,8.93220000E+4,
662.00,8.43360000E+4,
664.00,8.09460000E+4,
666.00,7.63880000E+4,
668.00,7.23620000E+4,
670.00,6.89940000E+4,
672.00,6.54400000E+4,
674.00,6.21070000E+4,
676.00,5.89680000E+4,
678.00,5.60240000E+4,
680.00,5.02270000E+4,
682.00,4.77490000E+4,
684.00,4.52910000E+4,
686.00,4.29690000E+4,
688.00,4.05550000E+4,
690.00,3.85920000E+4,
692.00,3.58950000E+4,
694.00,3.38840000E+4,
696.00,3.21440000E+4,
698.00,3.09150000E+4,
700.00,2.90650000E+4,
702.00,2.73060000E+4,
704.00,2.57100000E+4,
706.00,2.42850000E+4,
708.00,2.31820000E+4,
710.00,2.16470000E+4,
712.00,2.05490000E+4,
714.00,1.94320000E+4,
716.00,1.81770000E+4,
718.00,1.71750000E+4,
720.00,1.63460000E+4,
722.00,1.55110000E+4,
724.00,1.47810000E+4,
726.00,1.36640000E+4,
728.00,1.28080000E+4,
730.00,1.22190000E+4,
732.00,1.15170000E+4,
734.00,1.07220000E+4,
736.00,1.01700000E+4,
738.00,9.66800000E+3,
740.00,9.12000000E+3,
742.00,8.53400000E+3,
744.00,8.09100000E+3,
746.00,7.60300000E+3,
748.00,7.07400000E+3,
750.00,6.79400000E+3,
752.00,6.38900000E+3,
754.00,6.02200000E+3,
756.00,5.56400000E+3,
758.00,5.30300000E+3,
760.00,4.98900000E+3,
762.00,4.67300000E+3,
764.00,4.41400000E+3,
766.00,4.24800000E+3,
768.00,4.06200000E+3,
770.00,3.73300000E+3,
772.00,3.53000000E+3,
774.00,3.26400000E+3,
776.00,3.18200000E+3,
778.00,2.90600000E+3,
780.00,2.85100000E+3,
782.00,2.69100000E+3,
784.00,2.48000000E+3,
786.00,2.27900000E+3,
788.00,2.28300000E+3,
790.00,2.07400000E+3,
792.00,1.96000000E+3,
794.00,1.81400000E+3,
796.00,1.74200000E+3,
798.00,1.60800000E+3,
800.00,1.49600000E+3,
