Labels,EmScan20,
Type,Emission Scan,
Comment,,
Start,400.00,
Stop,750.00,
Step,5.00,
Fixed/Offset,355.00,
Xaxis,Wavelength,
Yaxis,Counts,
Scan Corr. by File,False,
Corr. by Ref. Det.,False,
Fixed/Offset Corr. by File,False,
Repeats,1,
Dwell Time,0.50,
Lamp,Xenon,
Temp,0.00,
Scan Polariser,None,
Scan Slit,0.4999860,
Fixed/Offset Polariser,None,
Fixed/Offset Slit,0.99998826,
Detector,Det 1,

400.00,4.44000000E+2,
405.00,4.47000000E+2,
410.00,4.37000000E+2,
415.00,4.27000000E+2,
420.00,4.22000000E+2,
425.00,4.30000000E+2,
430.00,4.17000000E+2,
435.00,4.75000000E+2,
440.00,4.70000000E+2,
445.00,6.26000000E+2,
450.00,8.69000000E+2,
455.00,1.36500000E+3,
460.00,2.42900000E+3,
465.00,5.05600000E+3,
470.00,9.95200000E+3,
475.00,1.89010000E+4,
480.00,3.20220000E+4,
485.00,4.94410000E+4,
490.00,7.07490000E+4,
495.00,9.30580000E+4,
500.00,1.20719000E+5,
505.00,1.48928000E+5,
510.00,1.77651000E+5,
515.00,2.01300000E+5,
520.00,2.18649000E+5,
525.00,2.28813000E+5,
530.00,2.31599000E+5,
535.00,2.30021000E+5,
540.00,2.26879000E+5,
545.00,2.19364000E+5,
550.00,2.11864000E+5,
555.00,2.02458000E+5,
560.00,1.93261000E+5,
565.00,1.82395000E+5,
570.00,1.69482000E+5,
575.00,1.58729000E+5,
580.00,1.46205000E+5,
585.00,1.34626000E+5,
590.00,1.23070000E+5,
595.00,1.11309000E+5,
600.00,1.00899000E+5,
605.00,8.91330000E+4,
610.00,7.93400000E+4,
615.00,7.02020000E+4,
620.00,6.18090000E+4,
625.00,5.37750000E+4,
630.00,4.60330000E+4,
635.00,4.01040000E+4,
640.00,3.41690000E+4,
645.00,2.91290000E+4,
650.00,2.50290000E+4,
655.00,2.12780000E+4,
660.00,1.79610000E+4,
665.00,1.54640000E+4,
670.00,1.29080000E+4,
675.00,1.09170000E+4,
680.00,8.87100000E+3,
685.00,7.48600000E+3,
690.00,6.13800000E+3,
695.00,5.37600000E+3,
700.00,4.38600000E+3,
705.00,3.77300000E+3,
710.00,3.13200000E+3,
715.00,2.62400000E+3,
720.00,2.27800000E+3,
725.00,1.90200000E+3,
730.00,1.62500000E+3,
735.00,1.32300000E+3,
740.00,1.09200000E+3,
745.00,8.60000000E+2,
750.00,7.64000000E+2,
