Labels,EmScan11,
Type,Emission Scan,
Comment,,
Start,400.00,
Stop,700.00,
Step,2.00,
Fixed/Offset,380.00,
Xaxis,Wavelength,
Yaxis,Counts,
Scan Corr. by File,False,
Corr. by Ref. Det.,False,
Fixed/Offset Corr. by File,False,
Repeats,1,
Dwell Time,0.50,
Lamp,Xenon,
Temp,0.00,
Scan Polariser,None,
Scan Slit,0.9999720,
Fixed/Offset Polariser,None,
Fixed/Offset Slit,0.99998826,
Detector,Det 1,

400.00,4.53000000E+2,
402.00,4.12000000E+2,
404.00,4.35000000E+2,
406.00,4.59000000E+2,
408.00,4.81000000E+2,
410.00,3.96000000E+2,
412.00,3.60000000E+2,
414.00,3.87000000E+2,
416.00,3.88000000E+2,
418.00,4.50000000E+2,
420.00,4.24000000E+2,
422.00,4.17000000E+2,
424.00,3.99000000E+2,
426.00,4.04000000E+2,
428.00,4.49000000E+2,
430.00,4.18000000E+2,
432.00,4.51000000E+2,
434.00,4.19000000E+2,
436.00,4.42000000E+2,
438.00,4.68000000E+2,
440.00,4.17000000E+2,
442.00,4.52000000E+2,
444.00,4.64000000E+2,
446.00,4.86000000E+2,
448.00,4.58000000E+2,
450.00,4.64000000E+2,
452.00,5.29000000E+2,
454.00,5.21000000E+2,
456.00,5.53000000E+2,
458.00,5.12000000E+2,
460.00,5.93000000E+2,
462.00,6.61000000E+2,
464.00,7.72000000E+2,
466.00,9.95000000E+2,
468.00,1.36000000E+3,
470.00,2.03700000E+3,
472.00,3.05500000E+3,
474.00,4.87300000E+3,
476.00,7.42900000E+3,
478.00,1.10540000E+4,
480.00,1.55410000E+4,
482.00,2.15830000E+4,
484.00,2.88450000E+4,
486.00,3.70430000E+4,
488.00,4.68070000E+4,
490.00,5.74980000E+4,
492.00,6.79180000E+4,
494.00,7.83000000E+4,
496.00,9.06390000E+4,
498.00,1.01734000E+5,
500.00,1.12255000E+5,
502.00,1.22532000E+5,
504.00,1.33575000E+5,
506.00,1.43103000E+5,
508.00,1.50592000E+5,
510.00,1.60060000E+5,
512.00,1.67472000E+5,
514.00,1.75661000E+5,
516.00,1.80841000E+5,
518.00,1.86255000E+5,
520.00,1.90917000E+5,
522.00,1.95306000E+5,
524.00,1.97571000E+5,
526.00,2.00797000E+5,
528.00,2.02892000E+5,
530.00,2.02986000E+5,
532.00,2.02412000E+5,
534.00,2.02782000E+5,
536.00,2.01423000E+5,
538.00,1.99748000E+5,
540.00,1.98603000E+5,
542.00,1.96212000E+5,
544.00,1.94250000E+5,
546.00,1.91292000E+5,
548.00,1.88123000E+5,
550.00,1.84002000E+5,
552.00,1.83127000E+5,
554.00,1.79435000E+5,
556.00,1.75580000E+5,
558.00,1.72477000E+5,
560.00,1.68404000E+5,
562.00,1.64469000E+5,
564.00,1.61087000E+5,
566.00,1.58101000E+5,
568.00,1.53656000E+5,
570.00,1.49283000E+5,
572.00,1.46221000E+5,
574.00,1.42354000E+5,
576.00,1.37977000E+5,
578.00,1.34767000E+5,
580.00,1.30865000E+5,
582.00,1.26689000E+5,
584.00,1.22811000E+5,
586.00,1.18574000E+5,
588.00,1.15895000E+5,
590.00,1.11753000E+5,
592.00,1.07686000E+5,
594.00,1.04544000E+5,
596.00,9.98850000E+4,
598.00,9.64530000E+4,
600.00,9.36980000E+4,
602.00,8.99230000E+4,
604.00,8.63670000E+4,
606.00,8.22490000E+4,
608.00,7.93210000E+4,
610.00,7.58720000E+4,
612.00,7.31500000E+4,
614.00,6.96370000E+4,
616.00,6.62630000E+4,
618.00,6.28340000E+4,
620.00,6.01710000E+4,
622.00,5.70220000E+4,
624.00,5.38350000E+4,
626.00,5.16600000E+4,
628.00,4.87490000E+4,
630.00,4.65130000E+4,
632.00,4.36440000E+4,
634.00,4.16790000E+4,
636.00,3.90510000E+4,
638.00,3.70630000E+4,
640.00,3.48810000E+4,
642.00,3.26890000E+4,
644.00,3.08580000E+4,
646.00,2.95210000E+4,
648.00,2.74780000E+4,
650.00,2.59760000E+4,
652.00,2.43600000E+4,
654.00,2.28800000E+4,
656.00,2.16130000E+4,
658.00,2.04310000E+4,
660.00,1.89550000E+4,
662.00,1.77900000E+4,
664.00,1.67160000E+4,
666.00,1.57870000E+4,
668.00,1.47150000E+4,
670.00,1.38520000E+4,
672.00,1.29790000E+4,
674.00,1.21630000E+4,
676.00,1.14550000E+4,
678.00,1.06300000E+4,
680.00,9.57800000E+3,
682.00,9.01500000E+3,
684.00,8.33100000E+3,
686.00,7.82900000E+3,
688.00,7.29100000E+3,
690.00,6.74700000E+3,
692.00,6.50800000E+3,
694.00,6.08800000E+3,
696.00,5.69200000E+3,
698.00,5.18600000E+3,
700.00,4.77800000E+3,
